settlement_id,division_id,settlement_date,total_amount
754,properties,2026-02-25,2344801.15
755,properties,2025-01-25,32757967.98
756,properties,2025-11-04,17692928.69
757,properties,2026-06-19,23621847.08
758,properties,2026-06-08,22487713.62
759,properties,2025-07-03,47350529.27
760,properties,2026-01-09,41966695.51
761,properties,2025-09-09,28294611.97
762,properties,2025-09-18,35988717.26
763,properties,2026-04-27,40516416.78
764,properties,2025-07-14,11043334.9
765,properties,2026-05-19,5459566.76
766,properties,2025-10-06,48998017.48
767,properties,2025-06-19,31982867.61
768,properties,2026-05-13,33092825.28
769,properties,2026-06-30,4043192.42
770,properties,2025-08-17,23052402.84
771,properties,2026-04-28,42705486.4
772,properties,2025-11-15,36720811.51
773,properties,2025-04-28,19310899.16
774,properties,2026-05-14,12195525.78
775,properties,2026-04-22,34166606.51
776,properties,2025-04-02,6547736.39
777,properties,2025-03-22,19593454.13
778,properties,2025-03-08,5537764.39
779,properties,2025-02-12,41295840.88
780,properties,2026-04-01,27245427.61
781,properties,2025-11-01,27393976.29
782,properties,2025-01-18,4214294.47
783,properties,2025-12-20,28146816.12
784,properties,2025-08-25,36476145.8
785,properties,2025-12-14,21034465.24
786,properties,2025-02-05,47071335.99
787,properties,2026-02-17,30936000.96
788,properties,2025-04-21,16940213.3
789,properties,2026-05-10,49626062.37
790,properties,2025-08-19,5859508.89
791,properties,2025-03-23,30546785.22
792,properties,2025-10-21,8672298.09
793,properties,2025-03-18,33715082.42
794,properties,2026-05-20,11526982.74
795,properties,2025-03-09,49466260.94
796,properties,2025-07-04,34583703.99
797,properties,2025-06-14,31420292.41
798,properties,2026-02-26,21725912.34
799,properties,2025-07-24,49370148.7
800,properties,2025-05-09,1921522.69
